Model,Search Type,PCA Used,Best Parameters,Best CV F1,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC-AUC,Test ROC-AUC,Fit/Search Time (s),Train Predict Time (s),Test Predict Time (s),Total Runtime (s),Dataset
Logistic Regression,grid,False,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,253.7178339958191,0.9942226409912109,0.8829054832458496,255.59496212005615,Aligned
Logistic Regression,grid,False,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.9999479573250065,0.9999479491984177,1.0,0.9998959092328511,1.0,1.0,1.0,0.9999479519075626,1.0,1.0,1.0,219.66660141944885,0.7003333568572998,0.745431661605835,221.112366437912,Flocking
Logistic Regression,grid,False,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.9999305989312236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,238.16425251960754,0.8849124908447266,0.8074057102203369,239.8565707206726,Grouped
RidgeClassifier,grid,False,{'model__alpha': 10.0},1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101.87838244438171,0.5386300086975098,0.17530059814453125,102.59231305122375,Aligned
RidgeClassifier,grid,False,{'model__alpha': 1.0},0.9996877926791283,0.9997397459920883,1.0,0.9994797627718239,1.0,1.0,1.0,0.9997398137066139,1.0,0.9999999891628563,1.0,101.19858241081238,0.4767262935638428,0.19854164123535156,101.87385034561157,Flocking
RidgeClassifier,grid,False,{'model__alpha': 10.0},0.9998611978624471,0.9999479491984177,1.0,0.9998612267554815,1.0,1.0,1.0,0.9999306085629034,1.0,1.0,1.0,104.48360991477966,0.45728516578674316,0.16220903396606445,105.10310411453247,Grouped
RidgeClassifier + PCA,grid,True,"{'model__alpha': 0.1, 'pca__n_components': 100}",0.9999167291198269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,243.7097806930542,2.2426247596740723,0.660203218460083,246.61260867118835,Aligned
RidgeClassifier + PCA,grid,True,"{'model__alpha': 0.1, 'pca__n_components': 100}",0.9964705808286848,0.9972413075161357,0.9981261711430356,0.994820263130633,0.9962655601659751,0.9996876951905059,1.0,0.9972480398774599,0.9981292870505093,0.9999669792228979,0.99996497434978,249.7142219543457,2.303583860397339,0.7652623653411865,252.78306818008423,Flocking
RidgeClassifier + PCA,grid,True,"{'model__alpha': 0.1, 'pca__n_components': 100}",0.9988216538075217,0.9991151363731001,0.9989592006661115,0.9976460814178898,0.9972314507198228,1.0,1.0,0.9988216538434879,0.9986138064873856,0.9998421924476509,0.9997903262756122,235.29907941818237,2.4386465549468994,0.7273342609405518,238.46506023406982,Grouped
Linear SVC,grid,False,{'model__C': 0.1},1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.17711544036865,0.7572143077850342,0.3097538948059082,88.2440836429596,Aligned
Linear SVC,grid,False,{'model__C': 0.1},0.9999479410692905,0.9999479491984177,1.0,1.0,1.0,0.9998958983968353,1.0,0.9999479464889907,1.0,1.0,1.0,112.61577653884888,0.9875807762145996,0.3812263011932373,113.98458361625671,Flocking
Linear SVC,grid,False,{'model__C': 0.1},0.9999305989312236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.20316982269287,0.9073357582092285,0.3718881607055664,105.48239374160767,Grouped
Decision Tree,grid,False,"{'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9984216686006828,1.0,0.9997918401332223,1.0,1.0,1.0,0.9993337774816788,1.0,0.9996667777407531,1.0,0.9996668887408394,965.9940848350525,0.5165340900421143,0.15342497825622559,966.6640439033508,Aligned
Decision Tree,grid,False,"{'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9983861243427654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1152.641755104065,0.28762388229370117,0.0841982364654541,1153.013577222824,Flocking
Decision Tree,grid,False,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9985418545615948,1.0,0.9991673605328892,1.0,0.9994441356309061,1.0,0.9983342587451416,1.0,0.9988888888888889,1.0,0.9990006292060706,1157.5218904018402,0.859044075012207,0.10638761520385742,1158.4873220920563,Grouped
